PO_Number,Item,DocumentDate,VendorNumber,Plant,MaterialNumber,Description,Quantity,UOM,NetPrice,Currency,GoodsReceiptDate
4500012301,10,15.01.2024,V-10045,1010,MAT-2001,Diesel Fuel,12500,L,1.42,GBP,22.01.2024
4500012301,20,15.01.2024,V-10045,1010,MAT-2001,Diesel Fuel,8750,L,1.42,GBP,22.01.2024
4500012302,10,18.01.2024,V-10047,1020,MAT-3005,Natural Gas (Erdgas),4200,M3,0.82,GBP,18.01.2024
4500012303,10,25.01.2024,V-10048,1030,MAT-4002,LPG,3.8,MT,620.00,GBP,31.01.2024
4500012304,10,02.02.2024,V-10045,1010,MAT-2001,Diesel Fuel,9800,L,1.45,GBP,09.02.2024
4500012305,10,07.02.2024,V-10046,1020,MAT-2002,Gas Oil,5200,Ltr,1.38,GBP,14.02.2024
4500012306,10,14.02.2024,V-10047,1020,MAT-3005,Natural Gas (Erdgas),3900,Nm3,0.84,GBP,14.02.2024
4500012307,10,20.02.2024,V-10049,1040,MAT-5001,Fuel Oil Heavy,2.1,MT,550.00,GBP,27.02.2024
4500012308,10,01.03.2024,V-10045,1010,MAT-2001,Diesel Fuel,11200,L,1.44,GBP,08.03.2024
4500012309,10,05.03.2024,V-10048,1030,MAT-4002,LPG,2.5,MT,615.00,GBP,
4500012310,10,12.03.2024,V-10047,1020,MAT-3005,Natural Gas (Erdgas),5100,M3,0.81,GBP,19.03.2024
4500012311,10,18.03.2024,V-10046,1010,MAT-2002,Gas Oil,7500,L,1.37,GBP,25.03.2024
4500012312,10,22.03.2024,V-10050,1050,MAT-6001,Kerosene,1800,L,1.55,GBP,29.03.2024
4500012313,10,28.03.2024,V-10045,1010,MAT-2001,Diesel Fuel,BAD_QTY,L,1.44,GBP,04.04.2024
4500012314,10,32.13.2024,V-10045,1010,MAT-2001,Diesel Fuel,6000,L,1.44,GBP,
